id,UniProt
1nty_A,O75962
2qwo_B,Q27974
1o1x_A,Q9X0G9
1o75_A,P29723
1gnt_A,P31101
1ocy_A,P10930
1oh9_A,P0A6C8
1ois_A,P04786
1ojh_C,Q8YNP7
1ojh_D,Q8YNP7
1ojq_A,Q9ADS9
1ntv_A,P97318
1j77_A,Q9RGD9
2qjz_A,Q15691
7fd1_A,P00214
1pch_A,P45611
1pdo_A,P69797
6p5x_B,P25924
6pr1_B,P25924
1k7c_A,Q00017
1pp0_C,Q6USC4
2gkr_I,P68390
2psp_B,P01359
1q7e_A,P69902
1pv5_A,P96719
1q2h_A,O14492
1q74_C,P9WJN3
1ql0_B,P13717
1qau_A,P29476
1qb7_A,Q27679
1qdd_A,P05451
1qcs_A,P18708
1qgi_A,P33673
1qhv_A,P03275
1qlm_A,P94954
1tez_B,P05327
1qnx_A,Q05110
1qw2_A,Q9HIX0
1qwz_A,Q2FZE3
1qxo_A,P0A2Y6
1qxo_B,P0A2Y6
1qxy_A,P0A078
1qz4_A,P25746
1sdi_A,P25746
1r0k_A,Q9X5F2
1dzf_A,P20434
1v9m_A,P74902
1r6l_A,P50597
1r9f_A,P11690
4jgn_A,P69517
1cpq_A,P00147
1rgz_A,P05364
1ls1_A,O07347
1rl6_A,P02391
1rlk_A,Q9HLW6
3agn_A,P00654
1ru4_A,P0C1A7
1ryl_A,P76483
1ssq_D,P43886
1s9r_A,P23793
1s9u_A,Q8ZPK0
1rm6_B,O33820
1puc_A,P08463
1sei_B,P56209
1sei_A,P56209
1sf9_A,O31576
1o4k_A,P12931
1skz_A,P15358
5erq_A,Q03555
5ert_A,Q03555
1t61_E,Q7SIB2
1tdz_A,P42371
1thm_A,P04072
1tg7_A,Q700S9
1tgr_A,P05019
1s2o_A,P74325
1h99_A,P39805
1tuk_A,P82900
1tzv_A,Q9X286
1tzw_A,Q9X286
1u07_A,P02929
1u6t_A,O75368
1u84_A,Q5KVS1
1u8v_C,P55792
5ol4_A,P41022
1uha_A,P83790
1uoy_A,P83799
1upt_B,Q13439
1upt_D,Q13439
1usm_A,P83819
1utg_A,P02779
1uz3_A,Q7Z589
1uz3_B,Q7Z589
1ux6_A,P07996
1uzp_A,P35555
1v1h_C,P03275
1v2z_A,Q79V62
1v30_A,O58558
1v4p_C,O58307
1vaj_A,O57770
1vbw_A,Q7M1Q1
1vcc_A,P68698
1vct_A,O57975
2bko_A,O57975
1vdk_B,P84127
1ve0_A,Q96YV5
1vk1_A,Q8U3S5
1vkm_C,Q9X1H5
1vkm_D,Q9X1H5
1vr8_A,Q9X1V7
1vra_B,Q9K8V3
1vzm_B,Q800Y1
1vzy_B,P37565
1vzy_A,P37565
1w2w_A,Q06489
1w2w_E,Q06489
1w53_A,P40399
1wd5_A,Q5SIB2
1wf3_A,Q5SM23
1whz_A,Q5SH17
1wlg_A,P0A1J1
1wlg_B,P0A1J1
1woj_A,P09543
1wpb_A,Q1R9C1
1wpb_L,Q1R9C1
1wq6_B,Q06455
1wq6_A,Q06455
1wq8_A,P67863
1j0p_A,P00132
2wr8_A,O58212
1wui_S,P21853
1wx1_B,Q7SIC7
1x0a_A,Q53W84
1vbi_A,Q53W84
1x3o_A,Q5SL79
2at8_X,Q94734
1u55_A,Q8RBX6
1xg0_A,Q00433
1xg0_B,P30943
1xhk_B,Q58812
2py5_A,P03680
2py5_B,P03680
4m62_S,-
2hyv_A,P07355
1xkg_A,P08176
1xkn_A,Q8KCB6
1tt8_A,P26602
1g81_A,P26602
1xmk_A,P55265
1rss_A,P17291
1xo7_B,Q4DPB9
1xsz_A,Q8RT31
1xty_B,Q980V1
3cyi_A,Q9BYN0
1y0n_A,Q9HYE3
1mix_A,P54939
1y6i_A,P72583
7e2s_A,P72583
5jr5_A,Q54436
1yd3_A,Q9WYA3
1yib_A,Q15691
3lkt_Q,P00437
1yoc_B,Q9I2R0
1yoz_B,O29321
1yoz_A,O29321
1yqe_A,O29630
1yu0_A,Q775D6
1yu2_A,Q775D6
2nug_B,O67082
1z0b_A,O29883
1z21_A,P68590
1z7k_B,P68390
1zht_A,P35844
1zjc_A,A0A0H3K3S3
2id6_A,Q9X0C0
1zn6_A,A0A0H3LKE5
1zos_C,Q8DQ16
1zsw_A,Q81H03
1zt5_A,P08833
1zw0_G,O68692
2p58_A,O68692
1zxx_A,P80019
2abk_A,P0AB83
2zwd_A,Q83WS2
2ahn_A,P50694
2aib_A,P15569
2aj7_A,Q9K6V7
2eu7_X,Q26241
2amh_A,-
5g68_A,O34453
1m7v_A,O34453
2arz_A,Q9HW16
2rdi_A,Q97W02
2au3_A,O67465
2b0a_A,Q58193
2b1y_A,A9CIG4
1msc_A,P03612
2b7r_A,P0C278
2b9d_B,P06465
2b9d_A,P06465
1rrm_A,P0A9S1
2bjf_A,P54965
2bjq_A,Q7YXK2
2bk9_A,Q9VF15
2bo1_A,P29160
2jdd_A,Q65LG7
2bti_A,A1JK11
2bti_B,A1JK11
2bw3_B,Q25442
1gqv_A,P10153
2c9i_D,Q9GPI6
2ccw_A,P56275
2cfe_A,O93970
2cfm_A,P56709
2ccq_A,Q96IV0
2cwy_A,Q5SM75
2cx7_A,Q5SL92
2dwk_A,Q9D394
2cxi_A,O73984
2cxi_B,O73984
2cyj_A,O59174
2d1l_A,Q8R1S4
2d28_C,P31742
2wnp_F,O00602
2d5b_A,P23395
2db7_B,Q9Y5J3
2db7_A,Q9Y5J3
2zzd_E,O66186
2dfx_I,P13476
2fhz_A,P13476
2dka_A,Q9P4V2
2dlb_B,O34498
2dlb_A,O34498
2x63_A,Q9LAK3
2drv_B,O58796
2it2_B,O58796
1h02_B,P05019
1wqj_B,P22692
2dt4_A,O58532
2dt8_A,Q5SJQ7
3nci_A,Q38087
5iff_A,Q9V2B6
5iff_B,Q9V2B6
2z6r_A,O58456
1v7r_A,O59580
2e5y_B,P07678
2e6x_A,Q5SIT3
2e6x_D,Q5SIT3
2e7u_A,Q5SJS4
2e7z_A,Q71EW5
2e8e_A,O67503
2ebb_A,Q5KYG7
2ed6_A,Q9ICB7
2ed6_J,Q9ICB7
1q0q_A,P45568
2ejn_B,P30438
2eo4_A,Q96YM2
2eq8_C,Q5SLV9
2erl_A,P10774
6e6o_A,P10774
2es9_A,Q8ZRJ2
1z2u_A,P35129
3rzn_A,Q9NZD2
1wbe_A,P68265
2ex2_A,P24228
2bbr_A,Q98325
2f5t_X,Q7LYW4
2f60_K,O00330
2f6e_A,P16154
1xkr_A,Q9X006
2fb5_A,Q812L9
2fb5_B,Q812L9
2fb6_A,Q8A7V2
2fe5_A,Q92796
2fef_A,Q9I1R6
2fef_B,Q9I1R6
2pmk_A,P08716
2fi9_A,Q8RIU4
2fip_A,P03682
2fip_B,P03682
2fj8_A,P12940
1jnr_C,O28603
2fma_A,P05067
1rqj_A,P22939
2fp1_A,P9WIB9
2ftx_B,Q04477
3ip4_A,P63488
4ny3_A,Q15257
2ixm_A,Q15257
2g64_A,O02058
2g7o_A,P10026
2g9e_A,P10026
2gec_A,P32923
2gfq_A,O57774
2gg6_A,Q9R4E4
2gib_A,P59595
2gib_B,P59595
2gke_A,P44859
2gkp_A,Q9K0T5
2glz_B,B8FYU2
2gno_A,Q9WZM9
2gpi_A,A3QJE4
2gqt_A,Q5SJC8
2gs5_A,Q6NEA9
2fzp_A,Q9H4P4
2ogb_B,Q8BH75
2gwm_A,P21454
2gwn_A,Q7MVW1
2gh0_D,Q5T4W7
2h1t_B,Q9I2B5
2h7g_X,P32989
2hl7_A,Q9I3N0
2hng_A,A0A0H2UQV3
2hq4_B,O59278
2hq4_A,O59278
2hu9_B,O29901
2hu9_A,O29901
1ah7_A,P09598
2hba_A,P02417
2hy5_A,O87896
2i5u_A,Q830E8
2i6d_A,Q7MW92
2i9w_A,Q4FPZ7
2i9x_B,Q8CML1
2i9x_A,Q8CML1
2iay_A,F9UQB2
2icu_A,P76318
2igp_A,O14777
2ii1_D,Q9KGN3
2imf_A,Q51948
6pnv_A,Q8ZQT5
2j6b_A,-
2j6c_A,-
2ims_A,Q16611
2jek_A,O07756
2jh3_A,Q9RS86
2jh3_B,Q9RS86
2jhq_A,Q9KPK8
2jlq_A,Q2YHF0
2nlv_B,Q3M6F6
2nnu_A,P03120
1g38_A,P14385
1g38_D,P14385
1dj0_B,P07649
2nqw_A,Q7MXD1
2nsa_A,Q9WZF8
7p46_B,Q8PDA8
7p46_A,Q8PDA8
2nuk_A,Q02762
2nwv_A,Q3M7V9
2o4t_A,Q9K5W1
2o6x_A,Q24940
2o70_F,A1L259
2o74_F,A1L259
2obl_A,B7UMA6
2oeb_A,O28417
2oez_B,Q87LT3
2oez_A,Q87LT3
2ofz_A,P59595
2onf_B,Q9HLN2
2op6_A,P20163
2oqz_A,A0A6L8PZR0
2osa_A,P15882
4jo7_A,Q9BVL2
4jo7_C,Q9BVL2
2ot9_A,Q886T9
2ou3_A,-
2ouw_A,Q2RXN9
2ov9_B,Q0S4E1
2ov9_C,Q0S4E1
1esw_A,O87172
2ox7_B,Q835D7
2oxl_A,P75993
2oxl_B,P75993
2oxo_A,P03700
2oya_B,Q60754
2oy9_B,Q9K9K7
2oy9_A,Q9K9K7
2p12_B,Q0SI31
2p12_A,Q0SI31
2p2v_A,Q9RGF1
2p3p_B,Q7MUU3
2p3p_A,Q7MUU3
2r31_A,A1B060
2zd2_B,A1B060
2p6h_B,Q9YBS9
2p6v_A,O00268
2p84_A,Q4ZC86
1k8k_E,Q3T035
2p9x_A,O58562
2p9x_D,O58562
2pa6_B,Q60173
2pag_A,Q87TZ9
2pbi_C,O54828
2pbi_A,O54828
2pcn_A,Q5KYY8
2pef_A,Q8R9P5
1nl1_A,P00735
2pfx_A,Q1GDR9
2phn_A,O28028
2phn_B,O28028
2i5v_O,P0CL66
3ckf_A,Q45040
2b97_A,P79073
2pnw_A,A9CKT8
2ppv_A,A0A0H2VHQ6
2prv_A,O34596
2pu3_A,Q2XSL7
2pv4_A,A1S8W8
2pyq_B,Q28JX0
2pyq_C,Q28JX0
3czz_B,P81180
2q2g_A,A3FQ69
2q7x_A,Q97PN8
2q9r_A,A3D7B7
2qdx_A,Q9HYK7
2qev_A,Q9BIH3
2qhq_A,Q87IM6
2qhq_B,Q87IM6
1e7l_B,P13340
2qnl_A,-
2qp2_A,Q7N6X0
2qq4_B,Q5SHJ4
1n2m_A,Q57764
2qsa_A,Q17433
2qt4_A,P86041
2qsk_A,P86041
2qtd_A,Q57773
2qud_A,Q38062
2r2d_A,A9CKY2
2qcu_A,P13035
2qcu_B,P13035
2ra8_A,Q64V53
3bqp_B,P07602
2rbk_A,Q8A090
2rci_A,Q45723
2rff_A,Q97XP0
2rij_A,Q0P823
2rji_A,Q25842
2rjw_A,P02640
1yu5_X,P02640
2rkq_A,Q9VS97
2o7o_A,P0ACT4
2uxy_A,P11436
2v05_A,Q8DR52
2jft_A,A0QTQ6
2v0u_A,O49003
2v27_A,Q47XN7
2v4b_A,Q9UHI8
2v4b_B,Q9UHI8
2vfx_C,Q13257
1uwk_B,P25080
2vac_A,Q6IBS0
2vfq_A,P12528
2vg1_B,P9WFF5
2vfk_A,-
2vh3_A,P85511
2vh3_B,P85511
2cc6_A,B0R5M0
2vkp_B,Q96KE9
2vlf_B,P31013
2vm5_A,Q13075
2vmc_A,P42530
3c1q_B,P45780
2vnl_A,P12528
2vri_A,P0C6U6
2vrs_C,Q992I2
2vy8_A,P31345
2vzc_A,Q9NVD7
2w0g_A,Q16543
2w0i_A,Q6IBS0
2w56_A,Q9KUL0
1h8e_G,P05631
2w6l_A,Q9HZQ0
2w6k_A,Q9HZQ0
2w86_A,P35555
2w8x_A,-
2w9y_A,Q9TZ51
2waw_A,D5MNX3
2wb6_A,Q70LC3
2wcu_A,Q8R2K1
2wfp_A,P25081
3h1w_A,P25081
2wfr_A,O43323
2xqu_A,-
2w39_A,Q874E3
4d71_A,A0A0H2UKY3
2wn3_C,P02886
2wny_B,O26785
2wpq_C,Q8ZL64
2wsi_A,P38913
2wlt_A,Q9ZLB9
2wqi_D,O15350
5hob_F,O15350
3jz9_A,Q5ZSQ3
3jza_B,Q5ZSQ3
2wya_A,P54868
2wzo_A,Q3YBR2
2x49_A,P0A1I3
2x5h_B,Q8QL44
2x5g_A,Q8QL44
2x5r_A,Q6ZYF6
2x9o_A,Q02189
3dff_A,Q6ZZJ1
2xc1_B,P12528
2xdg_A,Q02643
2xeu_A,P78317
2xf2_A,D9N167
2xf5_B,O48468
2xf7_A,O48468
2xm5_A,Q8GHB2
2xol_B,O30077
2xpp_A,Q8SUS7
2xrh_A,O25423
2xse_A,Q9U6M1
8bbm_A,Q9U6M1
2xu8_B,Q9I380
2xvs_A,Q8N0Z6
2x8w_A,B3VH91
2xz2_A,-
2xz3_A,P0AEX9
2y20_A,O28769
2y39_A,P37975
2y3w_A,Q7ZVT3
2y3w_B,Q7ZVT3
2y44_A,Q07419
2y4x_A,G3XCX7
2y4x_B,G3XCX7
2y7b_A,Q9NQW6
2ycl_A,Q3ACS3
2yjg_A,D9TQ02
2ysk_A,Q5SIE2
2yvo_A,Q5SJY9
2yvq_A,P31327
2yyv_B,Q9WZQ4
2yzs_B,O66692
2yzt_A,Q5SHH4
2z0a_B,Q5H7J4
2z0j_E,Q5SID6
1vcl_A,Q868M7
2z4u_A,P84854
2pqx_A,P21338
1oao_C,P27988
2zca_B,Q53VY0
2zfz_D,P9WPY9
2znr_A,Q96FJ0
3a1g_A,P03431
3a1g_C,P03431
3a0y_B,Q9X180
3a1g_B,P03428
3a1g_D,P03428
3a1u_A,Q9WXQ8
3a2q_A,P13398
3a3d_B,P45161
1v7z_F,P83772
3a6d_F,P83772
3a7l_A,P0A6T9
3ni2_A,Q941M3
3aa0_A,P13127
3aa6_B,P14315
6crk_G,P59768
3ajf_A,Q67897
3ajf_B,Q67897
2rkv_A,O42692
3b4q_B,Q6NIK0
3b4q_A,Q6NIK0
3b4w_A,P96405
3gqv_A,Q9Y7D0
1q8f_A,P33022
3bhg_A,Q5ZXD1
3bk5_A,Q87Q63
3bl9_A,Q96C86
3bl9_B,Q96C86
3bn0_A,O66523
3boe_A,Q50EL4
1u7k_D,P03336
3bpj_B,O75822
3bpj_C,O75822
3bpt_A,Q6NVY1
3bq9_B,-
3bwu_D,P30130
1ze3_D,P30130
3bzm_A,P38051
3bzn_A,P38051
3bzl_D,Q9AJ26
3c05_A,Q805F7
3c0f_B,O28758
3c2q_B,Q6LXX7
2wzb_A,P00558
3c8w_C,Q5ZXQ9
3c9p_A,A5MA43
3cjs_C,P36238
3cjs_B,P36238
3cml_A,Q6UDW7
3bqk_A,Q6UDW7
3cw3_A,Q9Y4K1
3owt_A,P11938
3owt_B,P11938
3d2q_A,Q9NR56
2wkx_A,P75820
3quo_A,Q56187
3d3y_A,Q82ZB5
3d7a_B,O58738
2xmx_A,P05820
3d4i_A,Q3V3E1
3dan_A,Q40778
3da8_A,P9WHM5
3dd6_A,Q81LA9
3dha_A,P0CJ63
4ys0_A,Q9X1R4
3e9v_A,P78543
3dnh_B,A9CI98
3do6_A,Q9X287
3dgp_B,Q3E7C1
3dqy_A,A5W4F0
3dso_A,Q58AD3
3dza_A,A6TE93
3e0z_A,-
3e0z_B,-
3e4w_B,Q73WB6
3e7h_A,Q9KV30
3eh1_A,O95487
3ehg_A,O34757
3emf_A,Q48152
3emi_A,Q48152
3enu_A,Q2YAE2
3eoj_A,P11741
4bcl_A,P11741
5wvo_C,P26358
2p54_A,Q07869
3ino_A,P13423
3eto_A,P46531
2z6o_A,Q9Y3C8
1p27_C,P61326
1rk8_B,P49028
2ozl_A,P08559
3eye_A,Q8XAB8
3ezu_A,Q74FR4
3f0o_B,P77072
3f0p_A,P77072
3f2e_A,D0VX05
3f43_A,Q9X0H0
3f4m_A,Q6P589
3f7c_A,A1TZ69
3f7w_A,Q47ME9
3fbl_A,Q70LC7
3fcn_A,Q2RPE2
3fgh_A,Q00059
3fh2_A,Q8NMA0
4gv2_A,Q9Y6F1
3fm2_A,Q3M4Y5
3fn2_B,-
3fo8_D,P13332
3fp5_A,D1MPT1
3fpn_A,D0VX13
3fpu_A,P0C8E7
3frr_A,P53990
3fyb_A,Q0VSW0
3g06_A,P0CE12
3g0m_A,Q8ZPQ1
3g28_A,P03322
3g3s_B,-
1yoe_A,P41409
3g5k_D,Q9HBH1
3g5t_A,P32643
3g6i_A,Q8A8Z5
3g98_B,O67323
3ga3_A,Q9BYX4
2pmb_C,Q9KTK3
3ghd_A,Q8TZN4
3gkj_A,O15118
3gmv_X,Q9KJ90
3tdt_A,P56220
1kgq_A,P56220
3gqh_A,P20345
3gs9_A,Q8Y4Z4
3ju4_A,Q04830
3gwi_A,P0ABB8
3h0n_A,Q28PN4
3h1d_A,Q7Z6Z7
3h2d_B,Q8EAI7
3h5q_A,Q5HE64
6j56_A,Q9UM54
6j56_B,Q9UM54
3hdj_B,Q7VSP8
3hgl_A,Q8RSY1
3hlz_B,Q8A7P4
3hlz_A,Q8A7P4
3hms_A,P14210
3hmr_A,Q08048
3ho6_A,P16154
2j7z_A,P48061
3hol_A,Q44124
3hvv_A,P0A862
3hwu_A,Q46QL5
3hxv_A,P00957
3hxw_A,P00957
2ia1_A,Q9K6M5
2ia1_B,Q9K6M5
3i57_B,Q9RGN5
3i94_A,Q55891
3ib5_A,Q1WSH7
3ic3_B,Q6N5V5
3ic3_C,Q6N5V5
3ilw_A,P9WG47
3ig9_B,Q7Y5B1
3ig9_C,Q7Y5B1
3igz_B,Q86N96
3ii2_A,Q70LE6
3iis_M,P80484
3iiu_M,P80484
3im1_A,P32639
3in9_A,Q89YQ6
3ikw_A,Q89YQ6
3imk_A,Q2LU76
3ipf_A,Q251Q8
3ipf_B,Q251Q8
3ipj_A,Q188R0
3it4_C,P9WPZ3
3it4_B,P9WPZ3
2wzg_A,Q5WWY0
3jsz_A,Q5WWY0
3jtz_A,Q9Z3B4
3jub_A,Q9BVM4
3ju3_A,Q9HK35
3jv1_A,Q584R4
3k29_A,O84677
3cy4_A,P11456
3k5j_A,Q5F6Z8
3k6q_B,Q0AZ30
3ka5_B,Q97F93
3ka5_A,Q97F93
3kbb_A,Q9X0Y1
3kby_B,Q7WTC8
3kby_A,Q7WTC8
3kd4_A,A6LB40
3kd4_B,A6LB40
3kde_C,Q7M3K2
7z4m_A,C6KTA4
3klr_A,P20821
3fhf_A,Q58134
3ktp_A,P11940
3kvd_D,Q6QCC2
3kwr_A,F9UPE7
3kz5_E,P62558
3kz5_B,P62558
3kz7_A,Q62446
3l1e_A,P02470
2y1y_A,P02511
3fke_A,Q05127
3l2a_A,Q8JPY0
3l32_B,Q0GBY3
3l32_A,Q0GBY3
3l4h_A,Q76N89
2qmj_A,O43451
3l51_A,Q8CG48
3l51_B,Q8CG47
3l9a_X,A2V8B8
3lae_A,Q57017
3las_B,Q8DVY1
3ld7_B,Q92EM7
3ldu_A,Q186Y7
3let_B,Q87P32
3lgb_B,P20457
3lk7_A,Q8E186
3mcb_A,Q13765
3ll7_A,Q7MVG6
3lpc_A,-
3lpe_B,Q57839
3lq9_B,Q9NX09
3lq9_A,Q9NX09
4fbs_A,Q05H60
3lui_B,Q15036
3luu_A,B7J6R7
3lvu_D,Q5LRQ9
3lwx_A,A6LB22
3lyy_A,Q03HU7
3lyw_A,B8FX10
3fkc_A,Q86T24
3m4r_A,Q9HKW2
3m5q_A,Q02567
3m66_A,Q96E29
3m6z_A,Q977W1
3m7d_A,Q977W1
3m7a_A,Q2GA55
3l84_A,Q0P7Y3
3k59_A,P21189
2gg2_A,P0AE18
2b0t_A,P50216
3mcb_B,P20290
3mfd_A,P35150
3mil_A,P41734
3mm6_A,Q59109
3mmh_B,-
3mqz_A,-
3msu_B,Q5NIJ6
3msw_A,Q5LAR6
3mwz_A,B7PKZ1
3mx7_A,Q9NVQ4
3mxz_A,O04350
1xta_A,Q7T1K6
1xta_B,Q7T1K6
3bec_A,P0AEB2
3ijw_A,A0A3P1UCA6
2inc_A,O87798
3n4j_A,Q74Y93
3rt4_A,Q9GK12
3ngg_B,P83952
3nis_B,P19812
3nke_B,Q46896
3nl9_A,B1YMF4
3npd_A,Q9HY15
3nqi_A,A0A380YR22
3nrl_B,A7B1J1
3nrl_A,A7B1J1
3nrw_A,Q5V4F9
1i2t_A,O95071
3nuf_A,Q034D9
4ckk_A,A0A0H3JH39
3nyy_A,A7B4J8
3p3g_A,-
3o04_A,Q8Y574
3o0g_D,Q15078
3o6p_A,Q837D6
3ofg_B,Q8IG33
3ofg_A,Q8IG33
3oi8_B,Q9K0P8
3oi8_A,Q9K0P8
3ohg_A,A7LRK2
3ol3_A,A0QRC4
3ol4_A,A0QRC4
3omd_B,-
3omd_A,-
3on9_A,Q7TDW8
3on9_B,Q7TDW8
3onj_A,Q04338
3ono_A,Q87K18
3lyf_D,D3K5I7
3ov5_A,Q8PJB3
3oxp_A,A0A3N4AZU4
3oyv_A,A7M120
3n8u_A,A7M120
3p3v_B,Q9A0T4
3p3o_A,Q70KH6
3p5p_A,Q41594
3pes_B,A9J573
3pes_A,A9J573
3pf6_A,C8ZKC7
3pf6_C,C8ZKC7
3pjy_B,Q92PM3
3po8_A,P71590
3pvh_A,Q9ZVL6
3sws_E,A1BBA0
2gc4_B,P22619
3q0i_A,Q9KVU4
3q1c_A,B7UMC8
2po4_A,Q859P9
3q1n_A,Q034Q3
3q3u_A,Q60FD2
3qc5_X,Q939N5
3qc7_A,B3VMP4
3qra_A,Q8D0Z7
2z0x_A,Q5SHN1
3rjs_A,A1YTN0
3rkg_A,Q01926
3rlk_A,Q8LTE1
3rmq_A,C7MVX3
1p5g_X,P26276
3rv1_B,A7TR32
3rxy_A,D1C210
3vor_A,Q59393
3obl_B,C0STD7
3sfv_B,-
2b3y_A,P21399
3sol_A,Q7BSV3
3st1_A,A5H7H0
3svi_A,-
3sxk_B,Q9WYS0
3t4r_A,Q9E7N7
3t7h_B,P38862
4gsj_A,P38862
3t7z_A,Q58105
3t92_A,Q09472
3p4h_A,B1L4V6
3tbn_A,Q2W014
3tee_A,P40131
3ti2_A,Q9KRB0
3tkk_A,Q8R8S5
2hwn_D,P12368
3tvj_I,O46162
3txs_B,Q6U9F0
3txs_C,Q6U9F0
3djl_A,P33224
4reo_A,P27150
3u5v_A,P28574
1ab1_A,P01542
3u7t_A,P01542
3ueb_C,B6YTZ3
3ueb_E,B6YTZ3
4na5_A,O88622
4fc2_B,O88622
3ush_B,Q2S0R5
3ush_A,Q2S0R5
1tag_A,P04695
3v3l_A,Q9NTX7
3v68_A,Q8TZE5
3vc8_A,P0C6X9
3vc8_B,P0C6X9
3vej_B,Q12285
3vgp_A,O29918
3vhj_A,B7UTD4
3vth_A,Q8RDB0
3vu0_B,O30195
3w1o_A,Q9JXC6
1r5l_A,P49638
3wa1_A,P18568
3whj_A,P40555
5eg7_A,G3LZH2
3wp8_A,K7ZP88
2ovj_A,Q9H0H5
3vkw_A,P03587
3wur_B,Q9K0P4
3vjz_A,Q9K0P4
3wvz_A,Q53FT3
3wvz_B,Q53FT3
3wx4_A,P39510
6yud_B,O28415
6vjg_A,O28415
3x38_B,Q08457
3zcb_B,E6Z0R4
3shg_B,E6Z0R4
3eqx_A,Q8E9K5
3zdm_A,Q12118
3zfn_A,Q5L4B1
3zfp_A,Q5L4B1
3kef_B,P62623
1b0n_A,P06533
3zl8_A,Q9WY78
3zrg_B,D0NIN5
3zr8_X,G1K3S4
2cg7_A,P02751
3zzr_A,Q9VAK8
3zzo_A,Q9VAK8
4a1k_A,O34816
4a3p_A,Q9Y4E8
4a56_A,H0USY9
2ad6_D,P38540
